time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-24T03:55:05.960Z,43.5321667,-121.7233333,0.7,2.79,ml,24,81,0.302,0.14,uw,uw61082862,2016-07-22T19:59:30.200Z,"Oregon",earthquake,0.34,1.1,0.161,75,reviewed,uw,uw
2015-07-11T21:36:03.880Z,42.571,-124.4801667,9.675,2.59,ml,18,216,0.1381,0.35,uw,uw61040957,2022-07-31T17:57:10.315Z,"9 km NW of Nesika Beach, Oregon",earthquake,0.99,2.11,0.109,24,reviewed,uw,uw
2015-07-04T15:42:18.050Z,44.0895,-122.831,7.95,4.14,ml,24,42,0.1257,0.26,uw,uw61037147,2022-06-16T18:01:11.600Z,"16 km ENE of Springfield, Oregon",earthquake,0.41,2.3,0.152,194,reviewed,uw,uw
2015-06-26T13:29:46.750Z,44.3572,-124.4485,28.65,2.5,ml,,230,0.5,1.28,us,us10002lwa,2015-09-02T22:37:20.040Z,"27 km W of Yachats, Oregon",earthquake,2.6,7.1,0.123,15,reviewed,uw,uw
2015-06-25T13:24:47.560Z,45.4891667,-123.4406667,51.602,3.13,ml,31,61,0.1504,0.1,uw,uw61046476,2022-06-16T09:19:16.185Z,"24 km WNW of Gaston, Oregon",earthquake,0.28,0.68,0.173,146,reviewed,uw,uw
2015-05-15T22:42:43.620Z,45.2021667,-121.2685,12.983,2.92,ml,21,48,0.05257,0.14,uw,uw61003707,2022-07-31T07:09:33.981Z,"2 km S of Wamic, Oregon",earthquake,0.43,0.53,0.164,132,reviewed,uw,uw
2015-04-18T13:50:09.210Z,42.566,-124.4806667,20.612,2.76,ml,5,228,0.3245,0.15,uw,uw60109408,2022-07-30T23:53:37.052Z,"8 km NW of Nesika Beach, Oregon",earthquake,0.67,0.83,0.091,29,reviewed,uw,uw
2015-04-18T13:49:52.060Z,42.5725,-124.4371667,19.312,2.74,ml,14,217,0.309,0.36,uw,uw60988592,2016-07-22T19:48:41.300Z,"7 km NNW of Nesika Beach, Oregon",earthquake,0.98,1,0.107,20,reviewed,uw,uw
2015-01-12T13:16:19.710Z,44.1518333,-122.8991667,7.751,2.61,ml,20,57,0.07738,0.26,uw,uw60946952,2022-07-27T13:54:59.518Z,"13 km E of Coburg, Oregon",earthquake,0.34,1.48,0.198,85,reviewed,uw,uw
2014-12-29T16:31:17.220Z,45.6453333,-122.7576667,19.728,2.51,ml,35,43,0.07171,0.13,uw,uw60943437,2022-07-27T11:51:37.127Z,"5 km NW of North Portland, Oregon",earthquake,0.22,0.33,0.126,83,reviewed,uw,uw
2014-12-19T14:01:06.920Z,44.9556667,-123.5536667,24.379,3.08,ml,30,105,0.2446,0.21,uw,uw60940797,2022-08-07T06:16:08.089Z,"11 km S of Fort Hill Census Designated Place, Oregon",earthquake,0.41,1,0.175,123,reviewed,uw,uw
